appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
625640,One Of The Last Demo,0.0,Deep Voodoo Gaming,Deep Voodoo Gaming,0,0,0,"Violent, Gore, Action, Adventure, Casual, Free to Play, Indie, Strategy"
625020,Fort Triumph Demo,0.0,Fort Triumph LTD,Fort Triumph LTD,0,0,0,"Indie, RPG, Strategy"
624480,Sonya: The Great Adventure Demo,0.0,Specialbit Studio,Specialbit Studio,0,0,1,"Adventure, Casual, Indie"
623980,SONAR Demo,0.0,Cakewalk,Cakewalk,0,0,0,Audio Production
624140,Football Manager 2018 Demo,0.0,Sports Interactive,SEGA,0,0,1,"Simulation, Sports"
624150,Football Manager Touch 2018 Demo,0.0,Sports Interactive,SEGA,0,0,0,
623770,ROBOT MASTER Demo,0.0,Newron Laboratory,Kunpo Games,0,0,0,"Casual, Indie, Strategy"
623220,Gerty Demo,0.0,Spawn Point OSK,Spawn Point OSK,0,0,1,"Action, Indie, RPG"
622860,Dyadic Demo,0.0,Handsome Dragon Games,Handsome Dragon Games,0,0,0,Indie
622900,Light It Demo,0.0,Questro,Questro,0,0,0,"Action, Indie"
622940,Fantasy Farming: Orange Season Demo,0.0,Hudell Tales,Hudell Tales,0,0,1,"Casual, RPG, Simulation"
622570,Sphere Complex Demo,0.0,OC Game Studio,OC Game Studio,0,0,0,"Action, Casual, Racing"
622780,Raining Blobs Demo,0.0,Endi Milojkoski,Black Shell Media,0,0,0,"Indie, Strategy"
620510,Lost in Secular Love Demo,0.0,YETU GAME,YETU GAME,0,0,1,"Adventure, Casual, Indie, Simulation"
620160,Kimmy Demo,0.0,Star Maid Games,,0,0,0,Indie
620250,Fatal Twelve Demo,0.0,aiueoKompany,Sekai Project,0,0,1,"Casual, Indie, Simulation"
620300,The Falconers: Moonlight Demo,0.0,Bionic Penguin,Sekai Project,0,0,0,"Gore, Adventure, Casual, Indie"
620400,Geneshift Demo,0.0,Ben Johnson (bencelot),Ben Johnson (bencelot),0,0,1,"Action, Indie, RPG"
620440,Arcane Maelstrom Demo,0.0,"Carlos Vilas Arias, Adrián Molina Borrego",Vilar Ingeniería de Software S.L.,0,0,0,"Action, Adventure, RPG"
619760,Constructor Demo,0.0,System 3,System 3,0,0,1,"Violent, Simulation"
620030,Necrosphere Demo,0.0,Cat Nigiri,Cat Nigiri,0,0,0,"Action, Adventure, Indie"
618810,The Watchmaker Demo,0.0,Micropsia Games,1C Company,0,0,0,"Action, Adventure"
618960,Jaws Of Extinction Prototype (Demo),0.0,KYE Creations,KYE Creations,0,0,0,"Action, Adventure, Free to Play, Indie, RPG"
618580,The Legend of Excalipurr Demo,0.0,Wisp Entertainment,Wisp Entertainment,0,0,0,"Action, Adventure, Indie"
617540,Omega Pattern Demo,0.0,Borokai Studio,Borokai Studio,0,0,0,"Adventure, Indie, Simulation"
617730,Home Sweet Home Demo,0.0,"YGGDRAZIL GROUP CO.,LTD","YGGDRAZIL GROUP CO.,LTD",0,0,14,"Gore, Adventure"
617010,Phantom Trigger Demo,0.0,"Victor Solodilov, Denis Novikov",tinyBuild,0,0,0,"Action, Adventure, Indie"
617070,"Love, Money, Rock'n'Roll Demo",0.0,Soviet Games,Soviet Games,0,0,6,"Adventure, Casual, Indie"
617200,Crystalline Demo,0.0,PixelFade Inc,PixelFade Inc,0,0,0,"Action, Adventure, Indie, RPG, Simulation"
616730,NEKO-NIN exHeart Demo,0.0,Whirlpool,Sekai Project,0,0,1,"Sexual Content, Nudity, Adventure, Casual, Simulation"
616070,BeeFense Demo,0.0,ByteRockers' Games,ByteRockers' Games,0,0,0,"Action, Indie, Strategy"
616100,VRog Demo,0.0,ByteRockers' Games,ByteRockers' Games,0,0,0,"Action, Indie"
616340,Tiles Demo,0.0,"Romans I XVI Gaming, LLC","Romans I XVI Gaming, LLC",0,0,0,Indie
615960,COMPOUND Demo,0.0,Bevan McKechnie,Bevan McKechnie,0,0,4,"Violent, Action, Indie"
615360,I was rebuilt Demo,0.0,uegamestudio,uegamestudio,0,0,1,"Action, Adventure, Indie"
615440,Holy Potatoes! We’re in Space?! Demo,0.0,Daylight Studios,Daedalic Entertainment,0,0,1,"Adventure, Indie, Simulation"
614710,Seance: The Unquiet (Demo 1),0.0,Holospark,Holospark,0,0,1,Indie
615030,Davyria: Heroes of Eternity Demo,0.0,Sebastian Groll,Sebastian Groll,0,0,0,"Action, Adventure, Free to Play, Indie, RPG"
614230,Rhythm Rush! Demo,0.0,KFriske Studios,KFriske Studios,0,0,1,"Action, Indie"
614590,The Cooking Game Demo,0.0,Play Spirit Limited,Play Spirit Limited,0,0,0,"Casual, Indie, Simulation"
613990,Ninja Avenger Dragon Blade Demo,0.0,Meow Studios,Meow Studios,0,0,0,"Violent, Gore, Action, Adventure, Casual, Indie, RPG"
614010,Queendoom Demo,0.0,EP Games®,EP Games®,0,0,1,"Action, Indie"
612950,Shadows Peak Demo,0.0,Andrii Vintsevych,Andrii Vintsevych,0,0,1,"Action, Adventure"
612970,The Keep Demo,0.0,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",0,0,1,"Indie, RPG"
612420,Vikings - Wolves of Midgard Demo,0.0,Games Farm,Kalypso Media Digital,0,0,1,"Nudity, Violent, Gore, Action, RPG"
612830,Like Clay Demo,0.0,free08games,free08games,0,0,0,"Adventure, Indie"
612850,The Letter Demo,0.0,Yangyang Mobile,Yangyang Mobile,0,0,2,"Adventure, Indie, RPG"
612280,New York Mysteries: Secrets of the Mafia Demo,0.0,FIVE-BN GAMES,FIVE-BN GAMES,0,0,1,"Adventure, Casual"
612360,HyperBrawl Tournament Demo,0.0,Milky Tea Studios,Milky Tea Studios,0,0,1,"Action, Casual, Indie, Sports"
611590,PROTOThYPE Demo,0.0,Monkeys Tales Studio,Monkeys Tales Studio,0,0,0,"Action Games, Adventure, Casual, Indie, Strategy"
611650,Mono Demo,0.0,JeliLiam,JeliLiam,0,0,1,"Violent, Gore, Indie"
611890,Think To Die 3 Demo,0.0,Felip Guimerà,FelGC.GamesDevelopment,0,0,0,
610990,The Midnight Sanctuary Demo,0.0,CAVYHOUSE,Carpe Fulgur,0,0,0,"Adventure, Indie"
609980,Verdict Guilty - 유죄 평결 Demo,0.0,Retro Army Limited,Retro Army Limited,0,0,1,"Action, Casual, Indie"
609750,Stories Untold Demo,0.0,No Code,Devolver Digital,0,0,1,"Adventure, Indie"
609770,The Eagle's Heir Demo,0.0,Choice of Games,Choice of Games,0,0,0,"Adventure, Indie, RPG"
609380,Prey Demo,0.0,Arkane Studios,Bethesda Softworks,0,0,3,Action
609470,Rite of Life Alpha Demo,0.0,Rebourne Studios,Rebourne Studios,0,0,1,RPG
699030,ICY: Frostbite Edition Demo,0.0,Inner Void,Digital Tribe,0,0,1,RPG
698460,Scanner Sombre Demo,0.0,Introversion Software,Introversion Software,0,0,1,"Adventure, Indie"
698120,Skelattack Demo,0.0,Ukuza,Ukuza,0,0,0,"Action, Adventure, Indie"
698290,Data Thief Demo,0.0,"James Smith, Nicholas Carlson, Jorge Castaneda, Caliber Seraphim","Ottercopter Studios, LLC",0,0,0,Indie
697720,Splash Blast Panic Demo,0.0,Team KwaKwa,Digital Smash,0,0,0,"Action, Casual, Indie"
697990,Pursuit of Power 2 : The Chaos Dimension (Demo),0.0,"Precision Games, LLC","Precision Games, LLC",0,0,0,"Action, Indie, Strategy"
697170,All-Star Fruit Racing Demo,0.0,3DClouds,PQube Limited,0,0,1,"Action, Indie, Racing, Sports"
696920,The Legend of the Dragonflame High School Demo,0.0,HUNTERS,HUNTERS,0,0,0,Action
696290,Sole Demo,0.0,Gossamer Games,Gossamer Games,0,0,0,"Adventure, Indie"
696610,Lethal Laser Demo,0.0,DigiFeather,DigiFeather,0,0,0,"Free to Play, Indie, Strategy"
695730,Post War Dreams Demo,0.0,Pulsetense Games,KISS ltd,0,0,0,"Action, Indie, RPG"
695030,Arena Demo,0.0,Surreal Games,Surreal Games,0,0,0,"Action, Indie, Simulation, Sports"
694100,Rocking Pilot Demo,0.0,"Gungrounds, Mad Head Games",Mad Head Games,0,0,0,"Action, Indie"
694350,Take the Cake Demo,0.0,EbenitCom,EbenitCom,0,0,0,"Action, Adventure, Indie"
694360,Abyssal Fall Demo,0.0,Blazing stick,Blazing stick too,0,0,0,"Action, Casual, Indie"
693660,MeiMeiDance Demo,0.0,Bad spider,Bad spider,0,0,0,"Nudity, Action, Free to Play, Simulation, Sports"
693900,Aquila Bird Flight Simulator Demo,0.0,Graeme Scott,Graeme Scott,0,0,1,"Casual, Simulation"
693200,Run Crabby Run Demo,0.0,Crabby Team,Crabby Team,0,0,0,"Adventure, Casual, Indie"
693220,Tomato Jones 2 Demo,0.0,HA Studio Ltd.,HA Studio Ltd.,0,0,0,"Action, Adventure, Indie"
693290,Zombies Berserk Demo,,,,0,0,0,
692520,Golem Creation Kit Demo,0.0,Illuminated Games,AAD Productions,0,0,0,"Casual, Indie"
692960,DreadEye VR Demo,0.0,Digital Happiness,Digital Happiness,0,0,1,"Violent, Gore, Indie"
691970,The Unwelcomed Demo,0.0,The Unwelcomed Studios,The Unwelcomed Studios,0,0,1,"Indie, Simulation"
690990,Endless Reality Demo,0.0,Hackerguild LLC,Hackerguild LLC,0,0,0,"Adventure, Indie, RPG, Strategy"
691290,Airmen Demo,0.0,Airborne Games,Airborne Games,0,0,1,"Action, Massively Multiplayer, Strategy"
691400,Draw Puzzle Demo,0.0,Hen Wen Studio,indienova,0,0,1,"Casual, Indie"
690720,Psychic Isolation Demo,0.0,"thiefbug, Nocthulus",thiefbug,0,0,1,"Violent, Action, Indie"
690230,Roboholic Demo,,,,0,0,0,
689690,Memories Demo,0.0,Revoked Studio,Revoked Studio,0,0,0,"Adventure, Free to Play"
689220,Malfunction Demo,0.0,Barlock Games,Barlock Games,0,0,0,"Action, Adventure, Indie"
689420,Order No. 227: Not one step back! Demo,0.0,High Wide,Rhino Games,0,0,1,"Action Games, Indie"
689510,Infection Rate Demo,0.0,AL Games,AL Games,0,0,0,"Action, Indie"
688920,Glitchbuster Demo,0.0,remremlesupreme2,remremlesupreme2,0,0,0,"Action, Adventure, Indie"
687780,CUR3D Maker Edition Demo,0.0,RUHRSOURCE GmbH,RUHRSOURCE GmbH,0,0,0,"Animation & Modeling, Design & Illustration, Education, Utilities"
687930,Voodoo Demo,0.0,Brain in the Box,IndieGala,0,0,0,"Nudity, Violent, Gore, Action, Adventure, Indie, Massively Multiplayer, Simulation"
688010,Trials of the Thief-Taker Demo,0.0,Choice of Games,Choice of Games,0,0,0,"Adventure, Indie, RPG"
687470,Warped Reality Demo,0.0,Unwonted Studios,Unwonted Studios,0,0,0,"Action, Adventure, Indie, Simulation"
687550,Metagalactic Blitz Demo,0.0,Pixelvex LLC,Pixelvex LLC,0,0,0,"Action, Indie"
686460,A Bloody Night Demo,0.0,Emanuele Leoncilli,Emanuele Leoncilli,0,0,1,"Violent, Gore, Action, Indie"
686560,Simplefield Demo,0.0,Ragnar,Ragnar,0,0,0,Action
686840,Brigand: Oaxaca Demo,0.0,"Brian Lancaster, Laughing Coyote Software","Brian Lancaster, Laughing Coyote Software",0,0,1,"Violent, Action Games, Free to Play, Indie, RPG"
686080,GRIDD: Retroenhanced Demo,0.0,Antab Studio,Kongregate,0,0,1,"Action, Indie, Racing"
686370,Dungeons & Treasure VR Demo,0.0,SDC Ventures,SDC Ventures,0,0,0,
685380,初颜 Demo,0.0,发胶事务所 Hairgel Agency,发胶事务所 Hairgel Agency,0,0,0,"Adventure, Free to Play, Indie, RPG"
685180,Above &amp;amp; Below Demo,0.0,Marcus Delekta,Marcus Delekta,0,0,0,"Adventure, Indie, RPG"
685320,Something To Do With Love Demo,0.0,Kabangeh,Clamdog Studio,0,0,1,Indie
684710,Celestian Tales: Realms Beyond Demo,0.0,Ekuator Games,Digital Tribe Games,0,0,0,"Indie, RPG"
684070,The Hero Unmasked! Demo,0.0,Choice of Games,Choice of Games,0,0,1,"Adventure, Indie, RPG"
684280,Res Judicata: Vale of Myth Demo,0.0,Blue Booth Studios,Blue Booth Studios,0,0,1,RPG
682650,BusinessMan Demo,0.0,SugGames,SugGames,0,0,0,"Indie, Simulation, Strategy"
682320,Witchkin Demo,0.0,Coven Games,Coven Games,0,0,0,"Action, Indie"
681120,Funtoon's World (Demo),0.0,Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,0,0,1,"Action, Adventure, Indie"
680600,PowBall Renaissance Demo,0.0,POW Games,POW Games,0,0,1,"Action, Casual, Indie"
680710,Never Again Demo,0.0,Primary Games,Primary Games,0,0,1,Indie
680430,Lemuria: Lost in Space - VR Edition Demo,0.0,EJRGames,EJRGames,0,0,0,"Action, Adventure, Indie, RPG"
680470,Dormant World Demo,0.0,XENOpz,XENOpz,0,0,0,"Action, Adventure, Indie"
679250,Tell a Demon Demo,0.0,Sun Labyrinth LLC,Sun Labyrinth LLC,0,0,0,"Adventure, Casual, Indie"
678700,Room 54 Demo,0.0,IK-Interactive,IK-Interactive,0,0,0,"Action, Adventure, Indie"
678720,Cat Quest Demo,0.0,The Gentlebros,PQube Limited,0,0,3,"Action, Adventure, Free to Play, Indie"
676950,Sojourner Demo,0.0,Michael Squirrel,Michael Squirrel,0,0,0,"Adventure, Free to Play, RPG"
676140,Without Within 3 Demo,0.0,InvertMouse,InvertMouse,0,0,1,Indie
675520,Starway Fleet Demo,0.0,StormCube Games,StormCube Games,0,0,0,"Action, Casual, Simulation"
675190,Choice of Zombies Demo,0.0,Choice of Games,Choice of Games,0,0,0,"Adventure, Indie, RPG"
675250,Shining Song Starnova Demo,0.0,Love In Space,Sekai Project,0,0,1,Casual
674560,Piece of Memory Demo,0.0,MATRE,MATRE,0,0,0,"Action, Adventure"
673790,ＩＫＡＲＯＳ Demo,0.0,Studio Mori,Studio Mori,0,0,0,"Adventure, Free to Play, Indie"
674070,Loneliness Demo,0.0,Ivan Crescenti Hernandez,Ivan Crescenti Hernandez,0,0,0,"Violent, Action, Adventure, Free to Play, Indie"
674080,Stick Nightmare Demo,0.0,Pedro Castro Menezes,Pedro Castro Menezes,0,0,0,Indie
724230,INTERSTELLAR PRIME Free Alpha Demo,0.0,Dreamcatcher Studio,Dreamcatcher Studio,0,0,0,"Action, Adventure, Indie, RPG, Simulation, Strategy"
724240,Solar Lander Demo,0.0,TChapman500,TChapman500,0,0,0,"Casual, Indie, Simulation"
724380,HalfLight Demo,0.0,MATCHB,Indievent,0,0,0,"Adventure, Casual, Indie"
723550,Holy Potatoes! What the Hell?! Demo,0.0,Daylight Studios,Daylight Studios,0,0,1,"Casual, Indie, Simulation, Strategy"
723120,Immersive Poetry Demo,0.0,Thalasse Games,Thalasse Games,0,0,0,"Casual, Indie"
